lat,lon,crs,total
-89.5,-32.5,b'',0.22439747
-89.5,-31.5,b'',0.22421612
-89.5,-30.5,b'',0.22397892
-89.5,-29.5,b'',0.22392188
-89.5,-28.5,b'',0.22377543
-89.5,-27.5,b'',0.22364163
-89.5,-26.5,b'',0.22340128
-89.5,-25.5,b'',0.22268975
-89.5,-24.5,b'',0.22237141
-89.5,-23.5,b'',0.22207414
-89.5,-22.5,b'',0.22187196
-89.5,-21.5,b'',0.22182839
-89.5,-20.5,b'',0.22183837
-89.5,-19.5,b'',0.22165447
-89.5,-18.5,b'',0.22149698
-89.5,-17.5,b'',0.22132389
-89.5,-16.5,b'',0.22112188
-89.5,-15.5,b'',0.22061709
-89.5,-14.5,b'',0.22032087
-89.5,-13.5,b'',0.22007737
-89.5,-12.5,b'',0.21969919
-89.5,-11.5,b'',0.2192176
-89.5,-10.5,b'',0.21808507
-89.5,-9.5,b'',0.21630953
-89.5,-8.5,b'',0.2146362
-89.5,-7.5,b'',0.21611916
-89.5,-6.5,b'',0.21637352
-89.5,-5.5,b'',0.21639708
-89.5,-4.5,b'',0.21608007
-89.5,-3.5,b'',0.2158031
-89.5,-2.5,b'',0.21550536
-89.5,-1.5,b'',0.21528776
-89.5,-0.5,b'',0.2149993
-89.5,0.5,b'',0.2146138
-89.5,1.5,b'',0.21414673
-89.5,2.5,b'',0.21409206
-89.5,3.5,b'',0.21375787
-89.5,4.5,b'',0.21344495
-89.5,5.5,b'',0.21314697
-89.5,6.5,b'',0.21289161
-89.5,7.5,b'',0.21248156
-89.5,8.5,b'',0.21240558
-89.5,9.5,b'',0.21280852
-89.5,10.5,b'',0.21561013
-89.5,11.5,b'',0.21889985
-89.5,12.5,b'',0.21873683
-89.5,13.5,b'',0.21853207
-89.5,14.5,b'',0.21842049
-89.5,15.5,b'',0.21816985
-89.5,16.5,b'',0.21799704
-89.5,17.5,b'',0.21781893
-89.5,18.5,b'',0.21761248
-89.5,19.5,b'',0.21737732
-89.5,20.5,b'',0.21734929
-89.5,21.5,b'',0.21706206
-89.5,22.5,b'',0.21706815
-89.5,23.5,b'',0.21688929
-89.5,24.5,b'',0.2166046
-89.5,25.5,b'',0.2164494
-89.5,26.5,b'',0.21634063
-89.5,27.5,b'',0.21688052
-89.5,28.5,b'',0.21803534
-89.5,29.5,b'',0.22060923
-89.5,30.5,b'',0.2206313
-89.5,31.5,b'',0.22046508
-89.5,32.5,b'',0.22026329
-89.5,33.5,b'',0.22014423
