lat,lon,crs,total
-89.5,-31.5,b'',3.2303035
-89.5,-30.5,b'',3.2296467
-89.5,-29.5,b'',3.226879
-89.5,-28.5,b'',3.2265797
-89.5,-27.5,b'',3.2222295
-89.5,-26.5,b'',3.2182388
-89.5,-25.5,b'',3.2164023
-89.5,-24.5,b'',3.2159917
-89.5,-23.5,b'',3.2156758
-89.5,-22.5,b'',3.2160223
-89.5,-21.5,b'',3.2172902
-89.5,-20.5,b'',3.2226446
-89.5,-19.5,b'',3.222113
-89.5,-18.5,b'',3.2178113
-89.5,-17.5,b'',3.219144
-89.5,-16.5,b'',3.223935
-89.5,-15.5,b'',3.2292259
-89.5,-14.5,b'',3.2316706
-89.5,-13.5,b'',3.2294276
-89.5,-12.5,b'',3.2320008
-89.5,-11.5,b'',3.2260127
-89.5,-10.5,b'',3.2256205
-89.5,-9.5,b'',3.2240167
-89.5,-8.5,b'',3.2212596
-89.5,-7.5,b'',3.2251375
-89.5,-6.5,b'',3.2198908
-89.5,-5.5,b'',3.2173715
-89.5,-4.5,b'',3.2198155
-89.5,-3.5,b'',3.223112
-89.5,-2.5,b'',3.2221847
-89.5,-1.5,b'',3.2241907
-89.5,-0.5,b'',3.226153
-89.5,0.5,b'',3.2291102
-89.5,1.5,b'',3.235117
-89.5,2.5,b'',3.2346551
-89.5,3.5,b'',3.2347624
-89.5,4.5,b'',3.230431
-89.5,5.5,b'',3.227831
-89.5,6.5,b'',3.227031
-89.5,7.5,b'',3.2310967
-89.5,8.5,b'',3.234818
-89.5,9.5,b'',3.2342224
-89.5,10.5,b'',3.2320719
-89.5,11.5,b'',3.2296393
-89.5,12.5,b'',3.2326386
-89.5,13.5,b'',3.2369964
-89.5,14.5,b'',3.2344527
-89.5,15.5,b'',3.2369277
-89.5,16.5,b'',3.2442336
-89.5,17.5,b'',3.2408013
-89.5,18.5,b'',3.2432194
-89.5,19.5,b'',3.2414362
-89.5,20.5,b'',3.2374096
-89.5,21.5,b'',3.2338777
-89.5,22.5,b'',3.2375834
-89.5,23.5,b'',3.2336962
-89.5,24.5,b'',3.2345226
-89.5,25.5,b'',3.2355595
-89.5,26.5,b'',3.2362843
-89.5,27.5,b'',3.2331188
-89.5,28.5,b'',3.2381983
-89.5,29.5,b'',3.2407022
-89.5,30.5,b'',3.2419586
-89.5,31.5,b'',3.2439673
-89.5,32.5,b'',3.2468598
-89.5,33.5,b'',3.2371037
-89.5,34.5,b'',3.2380152
-89.5,35.5,b'',3.2405467
-89.5,36.5,b'',3.2417617
-89.5,37.5,b'',3.2467098
-89.5,38.5,b'',3.2461817
-89.5,39.5,b'',3.2444265
-89.5,40.5,b'',3.2464397
-89.5,41.5,b'',3.2512772
-89.5,42.5,b'',3.2464345
-89.5,43.5,b'',3.2491164
-89.5,44.5,b'',3.2525702
-89.5,45.5,b'',3.2539942
-89.5,46.5,b'',3.2567663
-89.5,47.5,b'',3.2566168
-89.5,48.5,b'',3.2579494
-89.5,49.5,b'',3.2576737
-89.5,50.5,b'',3.258076
-89.5,51.5,b'',3.2581897
-89.5,52.5,b'',3.2564976
-89.5,53.5,b'',3.2591949
-89.5,54.5,b'',3.2602215
-89.5,55.5,b'',3.262765
-89.5,56.5,b'',3.2619655
-89.5,57.5,b'',3.254619
-89.5,58.5,b'',3.2641861
-89.5,59.5,b'',3.2629533
-89.5,60.5,b'',3.26057
-89.5,61.5,b'',3.260372
-89.5,62.5,b'',3.2692013
-89.5,63.5,b'',3.2654362
-89.5,64.5,b'',3.275753
-89.5,65.5,b'',3.2809641
-89.5,66.5,b'',3.2812903
-89.5,67.5,b'',3.2814076
-89.5,68.5,b'',3.2771628
-89.5,69.5,b'',3.2818103
-89.5,70.5,b'',3.2853749
-89.5,71.5,b'',3.2844157
-89.5,72.5,b'',3.2824986
-89.5,73.5,b'',3.2827399
-89.5,74.5,b'',3.2866237
-89.5,75.5,b'',3.2878082
-89.5,76.5,b'',3.2858095
-89.5,77.5,b'',3.2906315
-89.5,78.5,b'',3.2918856
-89.5,79.5,b'',3.2955456
-89.5,80.5,b'',3.296939
-89.5,81.5,b'',3.301558
-89.5,82.5,b'',3.3001904
-89.5,83.5,b'',3.300121
-89.5,84.5,b'',3.3003535
-89.5,85.5,b'',3.2994552
-89.5,86.5,b'',3.2968361
-89.5,87.5,b'',3.2976024
-89.5,88.5,b'',3.3011749
-89.5,89.5,b'',3.3081841
-89.5,90.5,b'',3.310704
-89.5,91.5,b'',3.3047283
-89.5,92.5,b'',3.3048358
-89.5,93.5,b'',3.3092234
-89.5,94.5,b'',3.305908
-89.5,95.5,b'',3.3017898
-89.5,96.5,b'',3.3003771
-89.5,97.5,b'',3.2972279
-89.5,98.5,b'',3.2916317
-89.5,99.5,b'',3.2934353
-89.5,100.5,b'',3.2941778
-89.5,101.5,b'',3.298955
-89.5,102.5,b'',3.3033285
-89.5,103.5,b'',3.3011594
-89.5,104.5,b'',3.3007731
-89.5,105.5,b'',3.3020382
-89.5,106.5,b'',3.305515
-89.5,107.5,b'',3.2993612
-89.5,108.5,b'',3.301362
-89.5,109.5,b'',3.3034482
-89.5,110.5,b'',3.3045018
-89.5,111.5,b'',3.3017063
-89.5,112.5,b'',3.300333
-89.5,113.5,b'',3.2968993
-89.5,114.5,b'',3.2953298
-89.5,115.5,b'',3.296548
-89.5,116.5,b'',3.3000855
-89.5,117.5,b'',3.2903728
-89.5,118.5,b'',3.293434
-89.5,119.5,b'',3.2941918
-89.5,120.5,b'',3.2941232
-89.5,121.5,b'',3.2932694
-89.5,122.5,b'',3.2907584
-89.5,123.5,b'',3.2901597
-89.5,124.5,b'',3.2937064
-89.5,125.5,b'',3.2936432
-89.5,126.5,b'',3.2932906
-89.5,127.5,b'',3.2913043
-89.5,128.5,b'',3.290151
-89.5,129.5,b'',3.2874007
-89.5,130.5,b'',3.2843413
-89.5,131.5,b'',3.2796724
-89.5,132.5,b'',3.2777588
-89.5,133.5,b'',3.2776163
-89.5,134.5,b'',3.2807708
-89.5,135.5,b'',3.2811122
-89.5,136.5,b'',3.274627
-89.5,137.5,b'',3.2697687
-89.5,138.5,b'',3.2748168
-89.5,139.5,b'',3.2736201
-89.5,140.5,b'',3.2702968
-89.5,141.5,b'',3.2661154
-89.5,142.5,b'',3.2708797
-89.5,143.5,b'',3.2699437
-89.5,144.5,b'',3.2646353
-89.5,145.5,b'',3.2586079
-89.5,146.5,b'',3.2578359
-89.5,147.5,b'',3.2643783
-89.5,148.5,b'',3.2582536
-89.5,149.5,b'',3.2560298
-89.5,150.5,b'',3.2564795
-89.5,151.5,b'',3.2565048
-89.5,152.5,b'',3.2589014
-89.5,153.5,b'',3.2555134
-89.5,154.5,b'',3.2552497
-89.5,155.5,b'',3.2535818
-89.5,156.5,b'',3.250463
-89.5,157.5,b'',3.2484264
-89.5,158.5,b'',3.2461996
-89.5,159.5,b'',3.243678
-89.5,160.5,b'',3.2413228
-89.5,161.5,b'',3.2346787
-89.5,162.5,b'',3.2386417
-89.5,163.5,b'',3.2355363
-89.5,164.5,b'',3.2388928
-89.5,165.5,b'',3.240027
-89.5,166.5,b'',3.2396874
-89.5,167.5,b'',3.2332795
-89.5,168.5,b'',3.2388113
-89.5,169.5,b'',3.2367077
-89.5,170.5,b'',3.2342777
-89.5,171.5,b'',3.2314816
-89.5,172.5,b'',3.2288895
-89.5,173.5,b'',3.2271566
-89.5,174.5,b'',3.2263672
-89.5,175.5,b'',3.226849
-89.5,176.5,b'',3.2239344
-89.5,177.5,b'',3.2154918
-89.5,178.5,b'',3.2175684
-89.5,179.5,b'',3.2178524
-88.5,-179.5,b'',3.1348622
-88.5,-178.5,b'',3.1301517
-88.5,-177.5,b'',3.125881
-88.5,-176.5,b'',3.127804
-88.5,-175.5,b'',3.121275
-88.5,-174.5,b'',3.1168673
-88.5,-173.5,b'',3.1194332
-88.5,-172.5,b'',3.1178122
-88.5,-171.5,b'',3.10853
-88.5,-170.5,b'',3.0981653
-88.5,-169.5,b'',3.0992675
-88.5,-168.5,b'',3.099027
-88.5,-167.5,b'',3.0901153
-88.5,-166.5,b'',3.0930135
-88.5,-165.5,b'',3.0931642
-88.5,-164.5,b'',3.0918014
-88.5,-163.5,b'',3.0887148
-88.5,-162.5,b'',3.0878427
-88.5,-161.5,b'',3.0938532
-88.5,-160.5,b'',3.0961092
-88.5,-159.5,b'',3.0952063
-88.5,-158.5,b'',3.0936284
-88.5,-157.5,b'',3.0964377
-88.5,-156.5,b'',3.0925899
-88.5,-155.5,b'',3.088995
-88.5,-154.5,b'',3.0790808
-88.5,-153.5,b'',3.0775993
-88.5,-152.5,b'',3.0722258
-88.5,-151.5,b'',3.0779445
-88.5,-150.5,b'',3.080506
-88.5,-149.5,b'',3.0811925
-88.5,-148.5,b'',3.0830257
-88.5,-147.5,b'',3.0852418
-88.5,-146.5,b'',3.0815568
-88.5,-145.5,b'',3.0878325
-88.5,-144.5,b'',3.095499
-88.5,-143.5,b'',3.0961304
-88.5,-142.5,b'',3.0983384
-88.5,-141.5,b'',3.104256
-88.5,-140.5,b'',3.101824
-88.5,-139.5,b'',3.1037593
-88.5,-138.5,b'',3.1114893
-88.5,-137.5,b'',3.1114833
-88.5,-136.5,b'',3.1130986
-88.5,-135.5,b'',3.1158848
-88.5,-134.5,b'',3.1100867
-88.5,-133.5,b'',3.1063404
-88.5,-132.5,b'',3.1152914
-88.5,-131.5,b'',3.1092572
-88.5,-130.5,b'',3.1128025
-88.5,-129.5,b'',3.1159725
-88.5,-128.5,b'',3.1213415
-88.5,-127.5,b'',3.1223288
-88.5,-126.5,b'',3.1240742
-88.5,-125.5,b'',3.1242714
-88.5,-124.5,b'',3.126615
-88.5,-123.5,b'',3.1276565
-88.5,-122.5,b'',3.131797
-88.5,-121.5,b'',3.1323206
-88.5,-120.5,b'',3.1333265
-88.5,-119.5,b'',3.1323664
-88.5,-118.5,b'',3.1320403
-88.5,-117.5,b'',3.1335535
-88.5,-116.5,b'',3.1321502
-88.5,-115.5,b'',3.1313915
-88.5,-114.5,b'',3.1307256
-88.5,-113.5,b'',3.1307988
-88.5,-112.5,b'',3.1301801
-88.5,-111.5,b'',3.130868
-88.5,-110.5,b'',3.1281729
-88.5,-109.5,b'',3.1268666
-88.5,-108.5,b'',3.1265006
-88.5,-107.5,b'',3.1255224
-88.5,-106.5,b'',3.1203063
-88.5,-105.5,b'',3.1174154
-88.5,-104.5,b'',3.1143863
-88.5,-103.5,b'',3.1137187
-88.5,-102.5,b'',3.111885
-88.5,-101.5,b'',3.1105068
-88.5,-100.5,b'',3.103592
-88.5,-99.5,b'',3.101772
-88.5,-98.5,b'',3.099147
-88.5,-97.5,b'',3.0975633
-88.5,-96.5,b'',3.0990775
-88.5,-95.5,b'',3.0979655
-88.5,-94.5,b'',3.0973232
-88.5,-93.5,b'',3.0992916
-88.5,-92.5,b'',3.0989552
-88.5,-91.5,b'',3.0991766
-88.5,-90.5,b'',3.0967352
-88.5,-89.5,b'',3.0961437
-88.5,-88.5,b'',3.099135
-88.5,-87.5,b'',3.0986872
-88.5,-86.5,b'',3.0999584
-88.5,-85.5,b'',3.101068
-88.5,-84.5,b'',3.1035712
-88.5,-83.5,b'',3.1046977
-88.5,-82.5,b'',3.1086419
-88.5,-81.5,b'',3.11064
-88.5,-80.5,b'',3.1125321
-88.5,-79.5,b'',3.114161
-88.5,-78.5,b'',3.1134872
-88.5,-77.5,b'',3.1112905
-88.5,-76.5,b'',3.1171257
-88.5,-75.5,b'',3.117009
-88.5,-74.5,b'',3.1204233
-88.5,-73.5,b'',3.126235
-88.5,-72.5,b'',3.1316743
-88.5,-71.5,b'',3.1260803
-88.5,-70.5,b'',3.1296356
-88.5,-69.5,b'',3.133283
-88.5,-68.5,b'',3.137667
-88.5,-67.5,b'',3.140375
-88.5,-66.5,b'',3.141035
-88.5,-65.5,b'',3.1372304
-88.5,-64.5,b'',3.1361089
-88.5,-63.5,b'',3.141039
-88.5,-62.5,b'',3.1433864
-88.5,-61.5,b'',3.1444163
-88.5,-60.5,b'',3.146698
-88.5,-59.5,b'',3.1493938
-88.5,-58.5,b'',3.1552367
-88.5,-57.5,b'',3.1541336
-88.5,-56.5,b'',3.1539621
-88.5,-55.5,b'',3.1557596
-88.5,-54.5,b'',3.1571405
-88.5,-53.5,b'',3.1582706
-88.5,-52.5,b'',3.1603389
-88.5,-51.5,b'',3.1625292
-88.5,-50.5,b'',3.1607423
-88.5,-49.5,b'',3.1613429
-88.5,-48.5,b'',3.164795
-88.5,-47.5,b'',3.1674662
-88.5,-46.5,b'',3.1695294
-88.5,-45.5,b'',3.16811
-88.5,-44.5,b'',3.166366
-88.5,-43.5,b'',3.1680474
-88.5,-42.5,b'',3.1715298
-88.5,-41.5,b'',3.1742518
-88.5,-40.5,b'',3.1763077
-88.5,-39.5,b'',3.1773973
-88.5,-38.5,b'',3.180012
-88.5,-37.5,b'',3.1872268
-88.5,-36.5,b'',3.1811128
-88.5,-35.5,b'',3.1794376
-88.5,-34.5,b'',3.1800609
-88.5,-33.5,b'',3.182591
-88.5,-32.5,b'',3.1854992
-88.5,-31.5,b'',3.1915243
-88.5,-30.5,b'',3.188296
-88.5,-29.5,b'',3.1889052
-88.5,-28.5,b'',3.1926646
-88.5,-27.5,b'',3.191568
-88.5,-26.5,b'',3.1947002
