name;isFossil
Biofuels and waste;0
Coal;1
Crude oil;1
Electricity;0
Gas;1
Geothermal;0
Heat;0
Oil products;1
Oil;1
Biomass and Waste;1
Biodiesel;0
Wind;0
Peat;0
Solar, Tide, Wave, Fuel Cell;0
Nuclear;0
Fuel Ethanol;0
Hydroelectricity;0
